Population_Members,Peak_Flow (CFS),Total_Runoff_Volume (1000*CF),Total_Costs $,Social_Context_Score,MultiObjectiveRating,,
childZHVDVAZgen19,352.918,3770.6733,24870073.37,1707.60065,3.144625966,,
childZAMJR8Zgen16,356.2835,3823.1433,24616315.88,1707.786667,3.169553074,,
childORCTECUgen10,351.0725,3790.4895,24933142.94,1709.059952,3.144298713,,
childYSVUF4Wgen14,352.387,3820.9815,24574013.93,1709.322525,3.156774058,,
childT1VWLNCgen15,351.412,3805.9263,24690967.02,1709.823626,3.149618007,,
childYON9KAJgen10,352.2605,3818.2923,24505218.12,1709.898447,3.155668278,,
child1539GS9gen16,352.405,3811.6296,24568819.79,1710.276411,3.154320836,,
childGV6O73Fgen10,349.5485,3804.7941,24970434.53,1710.811193,3.143491304,,
childAOV14ZCgen16,351.9095,3805.6779,24262655.99,1711.005063,3.151170139,,
childRQJXRK6gen13,350.201,3786.0102,24944081.05,1712.16904,3.140477253,,
childLAHAXZNgen11,352.3025,3792.6486,24599173.78,1712.347769,3.14891049,,
childY2Y6ZDTgen13,350.6455,3802.5468,24855050.97,1712.440249,3.146404479,,
childXZRAY07gen14,351.5955,3797.568,24677754.31,1712.50635,3.148036851,,
childBEAJDT1gen13,352.3125,3778.6725,24546464.97,1712.555299,3.145134696,,
child9ZVFQEVgen16,352.0205,3757.707,24928148.44,1712.815048,3.138502327,,
childPQRM4UEgen11,350.5535,3801.2094,24683969.4,1712.928538,3.145772368,,
childJWW3MGXgen17,354.109,3794.6547,24822850.68,1713.214583,3.155182319,,
childU2D45KRgen11,351.8285,3798.135,24590669.63,1713.354278,3.14896403,,
childFEWGPREgen9,351.1635,3780.4644,24912871.38,1714.107952,3.142080767,,
child2QHJIP3gen12,351.947,3799.0602,24949546.07,1714.420282,3.149638869,,
childLRGTWMNgen11,348.2115,3811.0572,24742447.23,1714.960064,3.141187076,,
childAFY2SKNgen9,349.659,3824.496,24792619.53,1715.678926,3.149444785,,
childY5DGCAMgen10,351.8775,3821.9238,24811903.93,1716.305741,3.15575147,,
child2P1N6OPgen9,350.9475,3795.8193,24822372.17,1716.325953,3.145697199,,
childDZNKXNIgen8,350.422,3819.0825,24914626.6,1716.511505,3.150405543,,
childANFF1P2gen14,357.982,3790.6371,24780044.68,1716.999442,3.16644601,,
childXNZCSCWgen13,349.9415,3765.0591,24870785.78,1717.38103,3.134180224,,
childXHYU5M5gen10,352.081,3797.3511,24764240.44,1717.53513,3.149737855,,
childKFPY8NQgen9,350.633,3802.6548,24906926.3,1717.689337,3.146637532,,
childZ8XFXV8gen13,350.861,3799.5399,24736775.08,1718.216999,3.146528636,,
child5MBO1S1gen10,350.307,3817.7775,24743802.6,1719.241728,3.149813654,,
childNENUPV8gen12,351.295,3821.9697,24299735.15,1719.278975,3.154068843,,
childZDV6262gen16,354.5815,3801.9438,24862787.85,1720.644518,3.159003409,,
childEC7GO8Xgen11,351.848,3784.4847,24674206.19,1721.392189,3.145669432,,
child5NCFPY6gen11,352.95,3823.3863,24869943.67,1721.404229,3.159761242,,
childZBCBZ8Igen15,351.0635,3803.5215,24587538.16,1722.387315,3.14844611,,
childA6AMBLRgen10,352.031,3790.0098,24823794.83,1722.455162,3.147803298,,
childKLOXURMgen11,346.012,3809.3787,24996483,1722.744885,3.134168535,,
childUJT40O1gen13,353.3245,3802.3533,24402279.92,1723.386678,3.155287185,,
child6K14QHEgen8,351.209,3783.3642,24989143.67,1723.546515,3.143452602,,
childIIIKFDAgen8,349.077,3789.4599,24921961.32,1723.753349,3.138418914,,
